yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
576
Loaded: 0.000073 seconds
Region 82 Avg IOU: 0.665499, Class: 0.980953, Obj: 0.138589, No Obj: 0.001889, .5R: 1.000000, .75R: 0.166667,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.763745, Class: 0.994199, Obj: 0.274319, No Obj: 0.001522, .5R: 1.000000, .75R: 0.600000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000028, .5R: -nan, .75R: -nan,  count: 0
1004: 1.248927, 1.121492 avg, 0.001000 rate, 12.254172 seconds, 64256 images
Loaded: 0.000060 seconds
Region 82 Avg IOU: 0.637776, Class: 0.954306, Obj: 0.087180, No Obj: 0.001389, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.687607, Class: 0.988252, Obj: 0.253405, No Obj: 0.002479, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.726703, Class: 0.990398, Obj: 0.175958, No Obj: 0.001493, .5R: 0.800000, .75R: 0.600000,  count: 5
Region 94 Avg IOU: 0.452843, Class: 0.944084, Obj: 0.020214, No Obj: 0.000025, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.694087, Class: 0.968519, Obj: 0.386602, No Obj: 0.001550, .5R: 0.833333, .75R: 0.500000,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000019, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.743575, Class: 0.997357, Obj: 0.168658, No Obj: 0.001329, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000011, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.605628, Class: 0.904372, Obj: 0.335374, No Obj: 0.001685, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000021, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.580677, Class: 0.997887, Obj: 0.351590, No Obj: 0.002780, .5R: 0.777778, .75R: 0.111111,  count: 9
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000025, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.704940, Class: 0.987576, Obj: 0.289702, No Obj: 0.001649, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.697355, Class: 0.998320, Obj: 0.248446, No Obj: 0.001606, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.381802, Class: 0.867685, Obj: 0.013173, No Obj: 0.000020, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.557966, Class: 0.974484, Obj: 0.243395, No Obj: 0.002208, .5R: 0.714286, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.493549, Class: 0.605200, Obj: 0.022523, No Obj: 0.000079, .5R: 0.428571, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.688740, Class: 0.997152, Obj: 0.260760, No Obj: 0.001603, .5R: 0.800000, .75R: 0.400000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000040, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.658601, Class: 0.937575, Obj: 0.159470, No Obj: 0.001279, .5R: 0.833333, .75R: 0.166667,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000023, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.621218, Class: 0.992921, Obj: 0.294097, No Obj: 0.002709, .5R: 0.846154, .75R: 0.153846,  count: 13
Region 94 Avg IOU: 0.556043, Class: 0.679434, Obj: 0.029615, No Obj: 0.000096, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.716718, Class: 0.988148, Obj: 0.312776, No Obj: 0.001433, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000028, .5R: -nan, .75R: -nan,  count: 0
