yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.000083 seconds
Region 82 Avg IOU: 0.298210, Class: 0.534298, Obj: 0.493130, No Obj: 0.500385, .5R: 0.250000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524343, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.160739, Class: 0.620015, Obj: 0.480428, No Obj: 0.499035, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524277, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.123499, Class: 0.750137, Obj: 0.541485, No Obj: 0.498826, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523997, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.268745, Class: 0.731018, Obj: 0.326730, No Obj: 0.499299, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523765, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.382761, Class: 0.665211, Obj: 0.545460, No Obj: 0.499190, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523309, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.258385, Class: 0.611102, Obj: 0.446391, No Obj: 0.499539, .5R: 0.250000, .75R: 0.000000,  count: 16
Region 94 Avg IOU: 0.209160, Class: 0.393845, Obj: 0.307699, No Obj: 0.522851, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.171323, Class: 0.591206, Obj: 0.512868, No Obj: 0.499762, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.220509, Class: 0.387855, Obj: 0.633815, No Obj: 0.523932, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.168746, Class: 0.584919, Obj: 0.529709, No Obj: 0.498694, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.119629, Class: 0.152999, Obj: 0.307236, No Obj: 0.523758, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.269667, Class: 0.638253, Obj: 0.651989, No Obj: 0.498687, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524556, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.217985, Class: 0.653655, Obj: 0.432180, No Obj: 0.496759, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523463, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.307245, Class: 0.807211, Obj: 0.452334, No Obj: 0.498794, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525445, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.178869, Class: 0.427489, Obj: 0.618479, No Obj: 0.500167, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525015, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.389564, Class: 0.574030, Obj: 0.517538, No Obj: 0.499188, .5R: 0.250000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525037, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.205024, Class: 0.688566, Obj: 0.558258, No Obj: 0.498304, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.083056, Class: 0.114498, Obj: 0.385969, No Obj: 0.523820, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.330689, Class: 0.549956, Obj: 0.499394, No Obj: 0.499338, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.283850, Class: 0.235411, Obj: 0.500143, No Obj: 0.523677, .5R: 0.000000, .75R: 0.000000,  count: 9
5: 592.927246, 591.769348 avg, 0.000000 rate, 8.783435 seconds, 320 images
Loaded: 0.000063 seconds
Region 82 Avg IOU: 0.210190, Class: 0.610553, Obj: 0.504466, No Obj: 0.500088, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 94 Avg IOU: 0.059266, Class: 0.486045, Obj: 0.674418, No Obj: 0.524476, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.188450, Class: 0.422827, Obj: 0.571397, No Obj: 0.498931, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524146, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.147707, Class: 0.584652, Obj: 0.742591, No Obj: 0.498980, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523595, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.317837, Class: 0.536179, Obj: 0.576626, No Obj: 0.498517, .5R: 0.125000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.343194, Class: 0.204956, Obj: 0.219428, No Obj: 0.523562, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.255638, Class: 0.543692, Obj: 0.482256, No Obj: 0.498260, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 94 Avg IOU: 0.568003, Class: 0.357632, Obj: 0.522516, No Obj: 0.523629, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.174027, Class: 0.601143, Obj: 0.403144, No Obj: 0.498598, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524903, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.312978, Class: 0.662857, Obj: 0.445902, No Obj: 0.499665, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524497, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.190650, Class: 0.499339, Obj: 0.630584, No Obj: 0.498363, .5R: 0.000000, .75R: 0.000000,  count: 4
