yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 1.621513 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341886, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.040596, Class: 0.607723, Obj: 0.626702, No Obj: 0.459441, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.343434, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.182040, Class: 0.515306, Obj: 0.610641, No Obj: 0.459581, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.187753, Class: 0.270753, Obj: 0.577246, No Obj: 0.334310, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 93 Avg IOU: 0.255750, Class: 0.345471, Obj: 0.526031, No Obj: 0.458216, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.198735, Class: 0.253828, Obj: 0.274311, No Obj: 0.349847, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 93 Avg IOU: 0.133427, Class: 0.729248, Obj: 0.450143, No Obj: 0.459273, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337971, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.021216, Class: 0.724377, Obj: 0.536293, No Obj: 0.458061, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.337411, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.026145, Class: 0.746884, Obj: 0.673364, No Obj: 0.459569, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.339601, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.103345, Class: 0.655532, Obj: 0.646447, No Obj: 0.458386, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.327872, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.233753, Class: 0.582608, Obj: 0.536192, No Obj: 0.458625, .5R: 0.125000, .75R: 0.125000,  count: 8
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.331572, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.105251, Class: 0.681804, Obj: 0.679492, No Obj: 0.458281, .5R: 0.000000, .75R: 0.000000,  count: 5
4: 664.023682, 667.539551 avg, 0.000000 rate, 10.845693 seconds, 256 images
Loaded: 0.000084 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.331641, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.199839, Class: 0.593218, Obj: 0.466865, No Obj: 0.458240, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.333611, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.163930, Class: 0.682864, Obj: 0.350533, No Obj: 0.458567, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.342878, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.105975, Class: 0.813820, Obj: 0.601162, No Obj: 0.459436, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.339150, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.071089, Class: 0.716250, Obj: 0.525076, No Obj: 0.459201, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.355111, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.129610, Class: 0.647768, Obj: 0.438737, No Obj: 0.459374, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.331904, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.116573, Class: 0.396927, Obj: 0.540237, No Obj: 0.459478, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346918, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.071230, Class: 0.635148, Obj: 0.675619, No Obj: 0.459622, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.332076, .5R: -nan, .75R: -nan,  count: 0
